pair_id,source_attribute_id,target_attribute_id,source_label,target_label,source_category,target_category,source_subcategory,target_subcategory,embedding_similarity,lexical_similarity,evidence_support,retrieval_relation_hint,retrieval_status,candidate_source,step4_relation_hint,step4_score,pre_llm_pair_score,relation_type,merge_decision,direction,llm_confidence,rationale,final_merge_confidence,llm_provider,llm_model
pair_attr_demographics_and_population_did__attr_demographics_and_population_did__7af958b80192,attr_demographics_and_population__did_partner_work_outside_home_with_child_under_school__6d80d8d254,attr_demographics_and_population__did_r_work_outside_home_with_child_under_school_age__1f31c9c8e4,did partner work outside home with child under school age,did r work outside home with child under school age,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8753,0.9444,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9444,0.8739,alias_of,merge,symmetric,0.95,"Both attributes refer to the same concept of whether the partner (did) or respondent (r) worked outside home with a child under school age, differing only in label but semantically equivalent.",0.9027,openai,gpt-4.1-mini
pair_attr_narrative_identity_and_life_per__attr_narrative_identity_and_life_per__c2cdb961db10,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__45e73d5ef4,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__f14635a675,percent of people who shopped at the supermarket during childhood who were white,percent of people who shopped at the supermarket during childhood who were latin,Narrative Identity & Life History,Narrative Identity & Life History,narrative identity and life history,narrative identity and life history,0.8713,0.95,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.95,0.8731,related_but_distinct,keep_separate,none,0.95,"Attributes measure similar behaviors but for different racial groups, thus related but distinct and should be kept separate.",0.9023,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_x__e08ec8342249,attr_life_context_and_constraints__how_likely_x_is_experiencing_normal_ups_and_downs_of_l__3e43fd541c,attr_life_context_and_constraints__x_is_experiencing_normal_ups_and_downs_of_life__b630ffe333,how likely x is experiencing normal ups-and-downs of life,x is experiencing normal ups-and-downs of life,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8885,0.8932,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.8333,0.8684,alias_of,merge,symmetric,0.95,Both attributes describe the same concept of experiencing normal ups-and-downs of life with only minor lexical differences.,0.899,openai,gpt-4.1-mini
pair_attr_narrative_identity_and_life_per__attr_narrative_identity_and_life_per__8269df4df2de,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__2e31058e42,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__f14635a675,percent of people who shopped at the supermarket during childhood who were some,percent of people who shopped at the supermarket during childhood who were latin,Narrative Identity & Life History,Narrative Identity & Life History,narrative identity and life history,narrative identity and life history,0.8738,0.9434,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9434,0.8729,related_but_distinct,keep_separate,none,0.9,"Both attributes measure percent of people who shopped at the supermarket during childhood but differ by subgroup (some vs latin), indicating related but distinct persona attributes.",0.8796,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_re__attr_life_context_and_constraints_re__38b24822234d,attr_life_context_and_constraints__respondent_s_father_s_occupation_2010_census_and_2008__3355c5f482,attr_life_context_and_constraints__respondent_s_spouse_s_occupation_2010_census_and_2008__a5f44acc0d,"respondent's father's occupation, 2010 census & 2008 isco code","respondent's spouse's occupation, 2010 census & 2008 isco code",Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8764,0.9194,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.75,0.8683,related_but_distinct,keep_separate,none,0.95,Attributes refer to different family members' occupations; related context but distinct attributes.,0.8993,openai,gpt-4.1-mini
pair_attr_worldview_beliefs_and_attitu_ex__attr_worldview_beliefs_and_attitu_ex__f6955c09a788,attr_worldview_beliefs_and_attitu__expect_us_in_world_war_in_next_10_years_no_volunteered__984b55cd46,attr_worldview_beliefs_and_attitu__expect_us_in_world_war_in_next_10_years_volunteered_re__f224588b5d,expect us in world war in next 10 years (no volunteered response on web),expect us in world war in next 10 years (volunteered response on web),"Worldview, Beliefs & Attitudes","Worldview, Beliefs & Attitudes",worldview beliefs and attitudes,worldview beliefs and attitudes,0.9396,0.9787,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.8679,related_but_distinct,keep_separate,none,0.9,"Both attributes measure expectation of world war in next 10 years but differ by response type (no volunteered vs volunteered), indicating related but distinct constructs.",0.9046,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ru__attr_life_context_and_constraints_ru__2ad57a65f7d4,attr_life_context_and_constraints__run_out_of_time_before_getting_things_done_at_home__d66546e708,attr_life_context_and_constraints__run_out_of_time_before_getting_things_done_at_work__87f1cd167c,run out of time before getting things done at home,run out of time before getting things done at work,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8661,0.94,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.94,0.8678,related_but_distinct,keep_separate,none,0.95,"Attributes describe similar constraints but in different contexts (home vs work), so they are related but distinct and should not be merged.",0.8993,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_su__attr_life_context_and_constraints_su__9ebabdd5acbc,attr_life_context_and_constraints__subjective_class_identification_2021__1207c0c0fd,attr_life_context_and_constraints__subjective_class_identification__ea33382c54,subjective class identification (2021),subjective class identification,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8487,1.0,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_broader_narrower,1.0,0.8732,alias_of,merge,symmetric,0.95,"Both attributes represent the same concept 'subjective class identification', with one including a year suffix (2021) indicating a version or time-specific variant, effectively aliases.",0.9031,openai,gpt-4.1-mini
pair_attr_domain_specific_overlays_rate_o__attr_domain_specific_overlays_rate_o__65a707fb0753,attr_domain_specific_overlays__rate_of_ba_degree_earning_at_college_partner_attended__e97b969810,attr_domain_specific_overlays__rate_of_ba_degree_earning_in_college_respondent_attend__654a86cdd2,rate of ba degree earning at college partner attended,rate of ba degree earning in college respondent attended,Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.9073,0.8571,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.8571,0.8697,alias_of,merge,symmetric,0.95,"Both attributes describe the same concept: the rate of BA degree earning at the college the respondent attended, differing only slightly in wording without changing meaning.",0.8992,openai,gpt-4.1-mini
pair_attr_personality_traits_get_upset_wh__attr_personality_traits_get_upset_wh__19d8ba326b07,attr_personality_traits__get_upset_when_others_don_t_notice_how_i_look__e4f9e37b92,attr_personality_traits__get_upset_when_others_notice_how_i_look__6025024a74,Get upset when others don't notice how I look.,Get upset when others notice how I look.,Personality Traits,Personality Traits,ipip personality items,ipip personality items,0.8677,0.9302,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9302,0.8662,conflicts_with,keep_separate,symmetric,0.9,"The two attributes describe opposite reactions to others noticing or not noticing appearance, thus they conflict and should be kept separate.",0.8758,openai,gpt-4.1-mini
pair_attr_domain_specific_overlays_has_ai__attr_domain_specific_overlays_has_ai__83c239f2b3a9,attr_domain_specific_overlays__has_aids_victim_2nd_closest_to_r_died__752106244e,attr_domain_specific_overlays__has_aids_victim_closest_to_r_died__03a3f52cfd,has aids victim 2nd closest to r died,has aids victim closest to r died,Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.8619,0.9429,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9429,0.8662,related_but_distinct,keep_separate,none,0.9,"Attributes differ by proximity ranking (closest vs 2nd closest), indicating related but distinct persona attributes rather than duplicates or aliases.",0.8759,openai,gpt-4.1-mini
pair_attr_domain_specific_overlays_has_ai__attr_domain_specific_overlays_has_ai__8840262fec05,attr_domain_specific_overlays__has_aids_victim_3rd_closest_to_r_died__87dac4b0d5,attr_domain_specific_overlays__has_aids_victim_closest_to_r_died__03a3f52cfd,has aids victim 3rd closest to r died,has aids victim closest to r died,Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.8593,0.9429,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9429,0.8648,broader_than,keep_separate,B_to_A,0.85,"Attribute B ('closest to r died') is a narrower, more specific case than Attribute A ('3rd closest to r died'), so they are hierarchical variants but not duplicates.",0.8527,openai,gpt-4.1-mini
pair_attr_personality_traits_am_considere__attr_personality_traits_am_not_consi__baaf8b424964,attr_personality_traits__am_considered_attractive_by_others__a06431195f,attr_personality_traits__am_not_considered_attractive_by_others__4ff17451bd,Am considered attractive by others.,Am not considered attractive by others.,Personality Traits,Personality Traits,ipip personality items,ipip personality items,0.8606,0.9459,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9459,0.8662,inverse_pole,keep_separate,symmetric,0.95,"The attributes are direct opposites (considered attractive vs. not considered attractive), representing inverse poles rather than duplicates or aliases.",0.8985,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__41efa588af76,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_youth_groups2__973c5ce62d,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_youth_groups3__909a069379,how many years r born a member of youth groups2,how many years r born a member of youth groups3,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9672,0.9787,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9787,0.933,alias_of,merge,symmetric,0.95,"The two attributes differ only by a trailing digit and have very high lexical and embedding similarity, indicating they are aliases or duplicates.",0.9354,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__850e50c98d7f,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_professional_society__01ebf4a3bd,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_professional_society__608868606e,how many years r born a member of professional society1,how many years r born a member of professional society2,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9646,0.9818,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9818,0.9324,duplicate_of,merge,symmetric,0.95,"The two attributes have nearly identical labels, categories, subcategories, and definitions, differing only by a trailing digit, indicating they are duplicates.",0.9351,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__05e468b24638,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_farm_organization1__347d5dcf2f,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_farm_organization2__41a1a2e70e,how many years r born a member of farm organization1,how many years r born a member of farm organization2,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9736,0.9808,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9808,0.9371,alias_of,merge,symmetric,0.95,"The two attributes differ only by a trailing digit and have nearly identical labels, categories, subcategories, and definitions, indicating they are aliases.",0.9376,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__b1776a9d8170,attr_life_context_and_constraints__how_many_years_r_been_a_member_of_veteran_groups1__4c6e3efcd1,attr_life_context_and_constraints__how_many_years_r_been_a_member_of_veteran_groups3__9007af9518,how many years r been a member of veteran groups1,how many years r been a member of veteran groups3,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9692,0.9796,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9796,0.9344,duplicate_of,merge,symmetric,0.95,"Both attributes have nearly identical labels and definitions differing only by a trailing digit, indicating they represent the same persona attribute.",0.9361,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__414ca1e912b7,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_school_fraternity1__132b338949,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_school_fraternity2__9cfcae3a23,how many years r born a member of school fraternity1,how many years r born a member of school fraternity2,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9734,0.9808,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9808,0.937,alias_of,merge,symmetric,0.95,"The two attributes differ only by a trailing digit and have nearly identical labels, categories, subcategories, and definitions, indicating they are aliases.",0.9376,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__270fe291f58e,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_youth_groups1__e0b21d60d6,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_youth_groups2__973c5ce62d,how many years r born a member of youth groups1,how many years r born a member of youth groups2,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9698,0.9787,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9787,0.9345,alias_of,merge,symmetric,0.95,"The two attributes differ only by a trailing digit and have very high lexical and embedding similarity, indicating they are aliases or duplicates.",0.9362,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_sp__attr_life_context_and_constraints_sp__fe95e678d92c,attr_life_context_and_constraints__spouse_s_occupational_prestige_score_1970__738caadc9c,attr_life_context_and_constraints__spouse_s_occupational_prestige_score_1980__302b92390a,spouse's occupational prestige score (1970),spouse's occupational prestige score (1980),Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9671,0.9767,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9767,0.9325,related_but_distinct,keep_separate,none,0.95,"Attributes differ by year (1970 vs 1980), representing distinct temporal data points rather than duplicates or aliases.",0.9351,openai,gpt-4.1-mini
pair_attr_cognitive_and_capability_pro_no__attr_cognitive_and_capability_pro_no__bf979e55e85c,attr_cognitive_and_capability_pro__non_college_postsecondary_education_voednme1__550646f506,attr_cognitive_and_capability_pro__non_college_postsecondary_education_voednme2__a75ad37222,non-college postsecondary education (voednme1),non-college postsecondary education (voednme2),Cognitive & Capability Profile,Cognitive & Capability Profile,cognitive and capability profile,cognitive and capability profile,0.9831,0.9783,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9783,0.9417,alias_of,merge,symmetric,0.95,"Both attributes represent the same concept of non-college postsecondary education from the same source with only version differences, indicating they are aliases.",0.9401,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__727088724948,attr_life_context_and_constraints__how_many_years_r_been_a_member_of_veteran_groups2__5b14c4478e,attr_life_context_and_constraints__how_many_years_r_been_a_member_of_veteran_groups3__9007af9518,how many years r been a member of veteran groups2,how many years r been a member of veteran groups3,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9686,0.9796,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9796,0.934,alias_of,merge,symmetric,0.95,"The two attributes differ only by a trailing digit and have very high lexical and embedding similarity, indicating they are aliases of the same persona attribute.",0.936,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__ecc2141a18a8,attr_life_context_and_constraints__how_many_years_r_been_a_member_of_veteran_groups1__4c6e3efcd1,attr_life_context_and_constraints__how_many_years_r_been_a_member_of_veteran_groups2__5b14c4478e,how many years r been a member of veteran groups1,how many years r been a member of veteran groups2,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9718,0.9796,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9796,0.9358,duplicate_of,merge,symmetric,0.95,"The two attributes differ only by a trailing digit and have nearly identical labels, categories, and definitions, indicating they are duplicates.",0.9369,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__75d16e4c53c0,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_school_service_group__61e7f73268,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_school_service_group__c40fa108f2,how many years r born a member of school service group2,how many years r born a member of school service group1,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9656,0.9818,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9818,0.9329,alias_of,merge,symmetric,0.95,"The two attributes differ only by a trailing digit in the label but have identical category, subcategory, and definition context, indicating they are aliases.",0.9354,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__813a47379103,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_other_group1__8fecb1b4e8,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_other_group2__8f46c0cfe7,how many years r born a member of other group1,how many years r born a member of other group2,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.965,0.9783,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9783,0.9317,alias_of,merge,symmetric,0.95,"The two attributes differ only by a suffix (other group1 vs other group2) but have identical definitions and high lexical and embedding similarity, indicating they are aliases.",0.9347,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__2f989a5e6902,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_farm_organization2__41a1a2e70e,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_farm_organization3__b05ad390df,how many years r born a member of farm organization2,how many years r born a member of farm organization3,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9687,0.9808,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9808,0.9344,alias_of,merge,symmetric,0.95,"The two attributes differ only by a trailing digit in the label and have very high lexical and embedding similarity, indicating they are aliases of the same persona attribute.",0.9362,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__53d8e8793622,attr_life_context_and_constraints__how_many_years_r_been_a_member_of_veteran_groups4__217380032e,attr_life_context_and_constraints__how_many_years_r_been_a_member_of_veteran_groups5__42ed95f915,how many years r been a member of veteran groups4,how many years r been a member of veteran groups5,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9633,0.9796,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9796,0.9311,alias_of,merge,symmetric,0.95,"The two attributes differ only by a trailing digit and have very high lexical and embedding similarity, indicating they are aliases or duplicates.",0.9344,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__db5d9e0fb2f8,attr_life_context_and_constraints__how_many_years_r_been_a_member_of_veteran_groups1__4c6e3efcd1,attr_life_context_and_constraints__how_many_years_r_been_a_member_of_veteran_groups5__42ed95f915,how many years r been a member of veteran groups1,how many years r been a member of veteran groups5,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9642,0.9796,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9796,0.9316,duplicate_of,merge,symmetric,0.95,"The attributes differ only by a trailing digit in the label, share the same category, subcategory, and source, and have very high lexical and embedding similarity, indicating they are duplicates.",0.9346,openai,gpt-4.1-mini
pair_attr_domain_specific_overlays_voting__attr_domain_specific_overlays_voting__e132d592e41c,attr_domain_specific_overlays__voting_intention_in_2024_election_post_july_25_2024__b2e0395310,attr_domain_specific_overlays__voting_intention_in_2024_election_pre_july_25_2024__b25ae17dcc,voting intention in 2024 election (post july 25 2024),voting intention in 2024 election (pre july 25 2024),Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.9796,0.9524,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9524,0.9333,related_but_distinct,keep_separate,none,0.95,"Attributes refer to voting intention at different time points (pre and post July 25, 2024), so they are related but distinct and should be kept separate.",0.9352,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_sc__attr_life_context_and_constraints_sc__950032930d07,attr_life_context_and_constraints__school_frarternity1_meets_in_this_area__7b892ccc4e,attr_life_context_and_constraints__school_frarternity2_meets_in_this_area__584620d5af,school frarternity1 meets in this area,school frarternity2 meets in this area,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.964,0.9737,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9737,0.93,related_but_distinct,keep_separate,none,0.95,"Attributes refer to different school fraternities meeting in the area; they are related but distinct entities, not duplicates or aliases.",0.9337,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__d7837aad3ce1,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_youth_groups1__e0b21d60d6,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_youth_groups3__909a069379,how many years r born a member of youth groups1,how many years r born a member of youth groups3,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9625,0.9787,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9787,0.9305,alias_of,merge,symmetric,0.95,"The two attributes differ only by a trailing digit in the label and have very high lexical and embedding similarity, indicating they are aliases or duplicates.",0.934,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__295f24154572,attr_life_context_and_constraints__how_many_years_r_been_a_member_of_political_club1__702abe9ece,attr_life_context_and_constraints__how_many_years_r_been_a_member_of_political_club2__7cec8b4179,how many years r been a member of political club1,how many years r been a member of political club2,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9616,0.9796,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9796,0.9302,alias_of,merge,symmetric,0.95,"The two attributes differ only by a trailing digit and have nearly identical labels, categories, and definitions, indicating they are aliases.",0.9339,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_sc__attr_life_context_and_constraints_sc__438e063b959e,attr_life_context_and_constraints__school_frarternity1_meets_in_this_area__7b892ccc4e,attr_life_context_and_constraints__school_frarternity3_meets_in_this_area__f88299e872,school frarternity1 meets in this area,school frarternity3 meets in this area,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9647,0.9737,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9737,0.9304,related_but_distinct,keep_separate,none,0.9,"Attributes refer to different school fraternities meeting in the area; they are related but distinct entities, not duplicates or aliases.",0.9114,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__4d005887de12,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_school_fraternity1__132b338949,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_school_fraternity3__a5fb60651d,how many years r born a member of school fraternity1,how many years r born a member of school fraternity3,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9606,0.9808,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9808,0.9299,alias_of,merge,symmetric,0.95,"The two attributes differ only by a trailing number in the label but have identical category, subcategory, and very high lexical and embedding similarity, indicating they are aliases.",0.9337,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__8742248ff3cf,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_literary_group2__a02334d81e,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_literary_group3__022ae10f4c,how many years r born a member of literary group2,how many years r born a member of literary group3,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9616,0.9796,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9796,0.9302,related_but_distinct,keep_separate,none,0.85,"Both attributes measure years born as a member of different literary groups (group2 vs group3), indicating related but distinct persona attributes rather than duplicates or aliases.",0.8889,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__132b33e9d771,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_professional_society__608868606e,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_professional_society__f11059610a,how many years r born a member of professional society2,how many years r born a member of professional society3,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9591,0.9818,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9818,0.9294,alias_of,merge,symmetric,0.95,"The two attributes have nearly identical labels and definitions, differing only by a trailing digit, indicating they are aliases of the same persona attribute.",0.9334,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__19a459813511,attr_life_context_and_constraints__how_many_years_r_been_a_member_of_veteran_groups3__9007af9518,attr_life_context_and_constraints__how_many_years_r_been_a_member_of_veteran_groups5__42ed95f915,how many years r been a member of veteran groups3,how many years r been a member of veteran groups5,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9603,0.9796,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9796,0.9295,duplicate_of,merge,symmetric,0.95,"The two attributes differ only by a trailing digit in the label but have identical category, subcategory, and very high lexical and embedding similarity, indicating they are duplicates.",0.9335,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_fa__attr_life_context_and_constraints_fa__6683ae074a9b,attr_life_context_and_constraints__father_s_occupational_prestige_score_1970__4f65483788,attr_life_context_and_constraints__father_s_occupational_prestige_score_1980__671255b36c,father's occupational prestige score (1970),father's occupational prestige score (1980),Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9612,0.9767,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9767,0.9292,related_but_distinct,keep_separate,none,0.95,"Attributes measure the same concept but for different years (1970 vs 1980), so they are related but distinct and should be kept separate.",0.9333,openai,gpt-4.1-mini
